month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1983-2;-2.46;0;0;0;8
1983-3;5.79;0;0;0;0
1983-4;10.67;0;0;0;0
1983-5;13.71;0;6;0;0
1983-6;17.05;2;13;0;0
1983-7;21.92;9;27;2;0
1983-8;18.82;1;19;0;0
1983-9;15.45;1;5;0;0
1983-10;10.76;0;2;0;0
1983-11;2.72;0;0;0;5
1983-12;-0.87;0;0;0;8
1984-1;1.14;0;0;0;1
1984-2;-0.98;0;0;0;8
1984-3;2.72;0;0;0;0
1984-4;7.6;0;0;0;0
1984-5;12.49;0;0;0;0
1984-6;16.06;0;7;0;0
1984-7;17.46;4;10;1;0
1984-8;18.03;0;9;0;0
1984-9;14.08;0;3;0;0
1984-10;11.46;0;0;0;0
1984-11;5.01;0;0;0;0
1984-12;0.9;0;0;0;6
1985-1;-6.45;0;0;0;20
1985-2;-2.31;0;0;0;9
1985-3;3.73;0;0;0;0
1985-4;9.71;0;0;0;0
1985-5;14.99;0;7;0;0
1985-6;15.27;0;4;0;0
1985-7;19.95;4;17;0;0
1985-8;18.46;6;15;0;0
1985-9;15.82;0;7;0;0
1985-10;9.14;0;2;0;0
1985-11;1.76;0;0;0;5
1985-12;3.96;0;0;0;2
1986-1;0.74;0;0;0;7
1986-2;-5.65;0;0;0;20
1986-3;4.21;0;0;0;1
1986-4;9.77;0;1;0;0
1986-5;16.48;0;12;0;0
1986-6;16.84;0;13;0;0
1986-7;18.39;5;16;0;0
1986-8;19.28;4;19;1;0
1986-9;14.91;0;6;0;0
1986-10;10.85;0;0;0;0
1986-11;5.79;0;0;0;1
1986-12;1.73;0;0;0;3
1987-1;-4.49;0;0;0;19
1987-2;0.4;0;0;0;4
1987-3;1.18;0;0;0;4
1987-4;10.55;0;1;0;0
1987-5;11.43;0;2;0;0
1987-6;16.07;2;7;0;0
1987-7;19.95;3;19;0;0
1987-8;18.13;2;11;0;0
1987-9;18.51;3;14;0;0
1987-10;11.59;0;2;0;0
1987-11;5.12;0;0;0;0
1987-12;1.96;0;0;0;6
1988-1;3.07;0;0;0;0
1988-2;2.26;0;0;0;0
1988-3;3.66;0;0;0;0
1988-4;10.19;0;0;0;0
1988-5;15.55;0;7;0;0
1988-6;16.42;0;5;0;0
1988-7;19.72;6;18;0;0
1988-8;19.18;5;19;0;0
1988-9;14.81;0;2;0;0
1988-10;12.11;0;2;0;0
1988-11;2.24;0;0;0;3
1988-12;2.2;0;0;0;4
1989-1;0.98;0;0;0;3
1989-2;3.74;0;0;0;3
1989-3;9.5;0;0;0;0
1989-4;10.37;0;1;0;0
1989-5;14.47;0;4;0;0
1989-6;15.66;0;5;0;0
1989-7;19.44;2;14;0;0
1989-8;18.63;2;16;0;0
1989-9;14.93;0;6;0;0
1989-10;12.02;0;2;0;0
1989-11;3.33;0;0;0;1
1989-12;1.73;0;0;0;5
1990-1;0.35;0;0;0;2
1990-2;7;0;0;0;0
1990-3;8.75;0;0;0;0
1990-4;8.49;0;0;0;0
1990-5;15.44;0;0;0;0
1990-6;16.81;3;10;0;0
1990-7;18.51;2;16;0;0
1990-8;19.99;4;23;0;0
1990-9;13.7;0;1;0;0
1990-10;12.18;0;2;0;0
1990-11;5.15;0;0;0;0
1990-12;-0.85;0;0;0;10
1991-1;0.92;0;0;0;3
1991-2;-1.16;0;0;0;7
1991-3;8.01;0;0;0;0
1991-4;8.66;0;0;0;0
1991-5;10.2;0;0;0;0
1991-6;16.65;0;9;0;0
1991-7;20.25;4;21;0;0
1991-8;19.56;2;19;0;0
1991-9;17.23;0;9;0;0
1991-10;9.13;0;0;0;0
1991-11;3.61;0;0;0;0
1991-12;-1.65;0;0;0;7
1992-1;0.71;0;0;0;5
1992-2;3.28;0;0;0;4
1992-3;6.1;0;0;0;0
1992-4;9.53;0;1;0;0
1992-5;15.62;0;7;0;0
1992-6;18.26;1;12;0;0
1992-7;20.75;6;19;0;0
1992-8;22.99;14;25;3;0
1992-9;15.94;0;4;0;0
1992-10;8.82;0;0;0;0
1992-11;6.53;0;0;0;0
1992-12;0.84;0;0;0;9
1993-1;3.05;0;0;0;4
1993-2;-1;0;0;0;8
1993-3;4.29;0;0;0;2
1993-4;11.6;0;4;0;0
1993-5;17;1;11;0;0
1993-6;17.47;0;10;0;0
1993-7;17.95;2;13;0;0
1993-8;18.91;5;16;0;0
1993-9;15.16;1;7;0;0
1993-10;10.5;0;0;0;0
1993-11;1.91;0;0;0;13
1993-12;3.15;0;0;0;2
1994-1;3.08;0;0;0;1
1994-2;2.11;0;0;0;3
1994-3;9.45;0;0;0;0
1994-4;9.06;0;0;0;0
1994-5;15.45;0;3;0;0
1994-6;18.49;5;16;0;0
1994-7;22.89;17;25;1;0
1994-8;21.35;9;19;2;0
1994-9;16.02;0;5;0;0
1994-10;9.13;0;0;0;0
1994-11;8.38;0;0;0;0
1994-12;2.46;0;0;0;3
1995-1;-0.48;0;0;0;9
1995-2;6.02;0;0;0;0
1995-3;4.52;0;0;0;0
1995-4;10.86;0;3;0;0
1995-5;14.83;1;7;0;0
1995-6;15.96;2;5;0;0
1995-7;22.14;12;25;1;0
1995-8;18.5;2;16;0;0
1995-9;14.06;0;1;0;0
1995-10;13.14;0;0;0;0
1995-11;2.66;0;0;0;2
1995-12;-1.34;0;0;0;17
1996-1;-3.31;0;0;0;23
1996-2;-1.86;0;0;0;7
1996-3;1.78;0;0;0;5
1996-4;9.19;0;2;0;0
1996-5;13.86;0;4;0;0
1996-6;18.35;4;13;0;0
1996-7;18.09;2;13;0;0
1996-8;18.2;0;9;0;0
1996-9;11.64;0;1;0;0
1996-10;10;0;1;0;0
1996-11;5.05;0;0;0;0
1996-12;-2.94;0;0;0;15
1997-1;-3.17;0;0;0;17
1997-2;4.92;0;0;0;0
1997-3;6.66;0;0;0;0
1997-4;7.02;0;0;0;0
1997-5;14.41;0;7;0;0
1997-6;17.21;1;8;0;0
1997-7;17.66;0;9;0;0
1997-8;19.17;0;19;0;0
1997-9;15.5;0;5;0;0
1997-10;8.81;0;0;0;0
1997-11;4.92;0;0;0;0
1997-12;2.53;0;0;0;1
1998-1;1.93;0;0;0;7
1998-2;4.97;0;0;0;2
1998-3;5.1;0;0;0;0
1998-4;10.69;0;0;0;0
1998-5;14.51;0;7;0;0
1998-6;18.2;3;15;0;0
1998-7;19.01;3;12;1;0
1998-8;18.79;4;13;0;0
1998-9;14.11;0;2;0;0
1998-10;10.57;0;0;0;0
1998-11;1.39;0;0;0;7
1998-12;0.58;0;0;0;8
1999-1;1.58;0;0;0;4
1999-2;-0.87;0;0;0;8
1999-3;6.13;0;0;0;0
1999-4;9.89;0;0;0;0
1999-5;15.45;0;5;0;0
1999-6;16.54;0;5;0;0
1999-7;19;4;14;0;0
1999-8;17.93;0;9;0;0
1999-9;17.47;0;9;0;0
1999-10;10.44;0;0;0;0
1999-11;2.34;0;0;0;3
1999-12;1.09;0;0;0;7
2000-1;-1.63;0;0;0;6
2000-2;4.41;0;0;0;0
2000-3;6.16;0;0;0;0
2000-4;11.86;0;2;0;0
2000-5;16.21;0;11;0;0
2000-6;18.87;4;16;0;0
2000-7;17.44;0;10;0;0
2000-8;20.08;5;19;0;0
2000-9;15.36;0;2;0;0
2000-10;11.97;0;1;0;0
2000-11;6.47;0;0;0;0
2000-12;2.49;0;0;0;2
2001-1;-0.07;0;0;0;7
2001-2;3.18;0;0;0;2
2001-3;7.82;0;0;0;0
2001-4;8.1;0;1;0;0
2001-5;16.4;0;10;0;0
2001-6;16.09;1;8;0;0
2001-7;19.99;7;17;0;0
2001-8;20.42;4;20;0;0
2001-9;12.58;0;0;0;0
2001-10;13.85;0;1;0;0
2001-11;2.75;0;0;0;0
2001-12;-2.3;0;0;0;12
2002-1;-1.81;0;0;0;15
2002-2;5.75;0;0;0;0
2002-3;6.97;0;0;0;0
2002-4;8.84;0;0;0;0
