year;region;energy_co2e_t;energy_co2e_t_percapita;industry_co2e_t;industry_co2e_t_percapita;traffic_co2e_t;traffic_co2e_t_percapita;buildings_co2e_t;buildings_co2e_t_percapita;agriculture_co2e_t;agriculture_co2e_t_percapita;waste_co2e_t;waste_co2e_t_percapita;fluorinated_gases_co2e_t;fluorinated_gases_co2e_t_percapita;total_co2e_t;total_co2e_t_percapita;population
2001;Salzburg;235213.74596110;0.45588565;720698.41132690;1.39684041;1231889.78590790;2.38761929;916974.24249203;1.77725752;588482.21183033;1.14058213;115156.58671676;0.22319374;67613.81167661;0.13104747;3876028.79591163;7.51242622;515949
2002;Salzburg;217239.11641248;0.42038361;721705.53539289;1.39658632;1366635.36570128;2.64460250;900281.09737147;1.74215134;579983.78528079;1.12233783;114663.67922178;0.22188790;74956.74276263;0.14505024;3975465.32214331;7.69299975;516764
2003;Salzburg;222973.07277093;0.43052641;745406.10042170;1.43926354;1481921.70247603;2.86136090;932233.15808211;1.79999760;572505.70144464;1.10541969;125031.55964070;0.24141654;73291.37724151;0.14151428;4153362.67207762;8.01949897;517908
2004;Salzburg;294415.08805330;0.56537286;793985.39456485;1.52471055;1519229.07542024;2.91741462;913372.18458341;1.75397207;579312.35348901;1.11246839;132092.08892505;0.25365983;72997.01372482;0.14017804;4305403.19876068;8.26777636;520745
2005;Salzburg;303737.20842019;0.58036443;862684.71418458;1.64837073;1544065.85267749;2.95031652;834847.76711500;1.59518142;566008.92277086;1.08149887;128134.84058993;0.24483304;84799.84120167;0.16203090;4324279.14695971;8.26259591;523356
2006;Salzburg;297060.73542321;0.56550683;871829.90886295;1.65968001;1453993.15612518;2.76792910;864831.31969532;1.64635698;560762.51828502;1.06750908;127880.80854617;0.24344338;77890.24763608;0.14827765;4254248.69457391;8.09870302;525300
2007;Salzburg;262631.82916493;0.49946528;884594.92278401;1.68229590;1468015.20046780;2.79182696;697375.48054758;1.32624762;561353.26557154;1.06756468;131641.14112289;0.25035114;80656.40559610;0.15338992;4086268.24525485;7.77114149;525826
2008;Salzburg;284418.48385075;0.54039593;924608.76933433;1.75675930;1383379.60670306;2.62842520;724630.96592995;1.37680090;571122.58404040;1.08513454;131120.21106370;0.24912877;83903.34345597;0.15941659;4103183.96437816;7.79606123;526315
2009;Salzburg;299967.58111031;0.56971952;823992.26260691;1.56498403;1341997.47257750;2.54881594;651688.27057273;1.23773218;567989.20048557;1.07876502;126003.20777555;0.23931415;88109.51710513;0.16734379;3899747.51223369;7.40667463;526518
2010;Salzburg;320711.07094824;0.60842829;719205.71840532;1.36442158;1396587.26724494;2.64949758;627013.02842630;1.18952073;565241.93479117;1.07233338;122332.10441520;0.23207903;92379.79759564;0.17525582;3843470.92182681;7.29153641;527114
