year;region;classification;pollutant;unit;source;data_status;energy_co2e_t;industry_co2e_t;traffic_co2e_t;buildings_co2e_t;agriculture_co2e_t;waste_co2e_t;fluorinated_gases_co2e_t;total_co2e_t;population;energy_co2e_t_percapita;industry_co2e_t_percapita;traffic_co2e_t_percapita;buildings_co2e_t_percapita;agriculture_co2e_t_percapita;waste_co2e_t_percapita;fluorinated_gases_co2e_t_percapita;total_co2e_t_percapita;international_flight_co2e_t
2008;Austria;EH;THG;t CO2-äq;OLI 2021 (1990-2020), NowCast (2021);August 2022;11827282;20251692;NA;NA;NA;NA;NA;NA;8307989;1.42360347371668;2.43761661215488;NA;NA;NA;NA;NA;NA;NA
2008;Austria;EH Abgrenzung ab 2013;THG;t CO2-äq;OLI 2021 (1990-2020), NowCast (2021);August 2022;12427282;21930890;NA;NA;NA;NA;NA;NA;8307989;1.49582311676147;2.63973507909074;NA;NA;NA;NA;NA;NA;NA
2008;Austria;Gesamt;THG;t CO2-äq;OLI 2021 (1990-2020), NowCast (2021);August 2022;13704550.8597903;26602027.5482336;22013399.6420001;10907808.4385997;8202626.36202015;3082133.47396718;1746474.09264631;86259020.4172574;8307989;1.64956295197193;3.20198155633494;2.64966644057907;1.31293005306094;0.987317913158064;0.370984298843821;0.210216225929802;10.3826594398786;2202563.23
2008;Austria;KSG;THG;t CO2-äq;OLI 2021 (1990-2020), NowCast (2021);August 2022;1277268.85979025;4671137.54823364;21942760.1939461;10907808.4385997;8202626.36202015;3082133.47396718;1693002.73264631;51776737.6092033;8307989;0.153739835210452;0.562246477244209;2.64116384770684;1.31293005306094;0.987317913158064;0.370984298843821;0.203780088375937;6.23216251360026;NA
2008;Burgenland;EH;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;11329;87809;NA;NA;NA;NA;NA;99138;280977;0.0403200261943148;0.312513123849995;NA;NA;NA;NA;NA;0.35283315004431;NA
2008;Burgenland;Gesamt;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;18940.8094659945;185300.602270292;851949.835902249;392858.947049713;256797.80175709;125837.354328754;43659.931003151;1875345.28177724;280977;0.0674105334813686;0.65948672763355;3.03209812868046;1.39818898717586;0.91394598759717;0.447856423581838;0.155386138378412;6.67437292652865;NA
2008;Burgenland;KSG;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;7611.80946599453;97491.6022702923;851094.504036241;392858.947049713;256797.80175709;125837.354328754;43659.931003151;1775351.94991123;280977;0.0270905072870539;0.346973603783556;3.02905399387224;1.39818898717586;0.91394598759717;0.447856423581838;0.155386138378412;6.31849564167612;NA
2008;Kärnten;EH;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;161549;643704;NA;NA;NA;NA;NA;805253;559715;0.288627247795753;1.1500567252977;NA;NA;NA;NA;NA;1.43868397309345;NA
2008;Kärnten;Gesamt;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;349245.081611289;1135522.32679055;1606074.12409625;793023.391746384;692761.738662004;225796.181034293;537616.284684742;5340039.12862551;559715;0.623969487348542;2.02875093001001;2.86944985232886;1.41683426698656;1.23770443647571;0.403412774419648;0.960517914804395;9.54063966237373;NA
2008;Kärnten;KSG;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;66117.9786668287;484261.9752319;1599302.89002665;793023.391746384;692761.738662004;225796.181034293;487013.884684742;4348278.0400528;559715;0.118127937730503;0.865193849069437;2.85735220608104;1.41683426698656;1.23770443647571;0.403412774419648;0.870110475303935;7.76873594606684;NA
2008;Niederösterreich;EH;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;5870278;2269238;NA;NA;NA;NA;NA;8139516;1595503;3.67926478358236;1.42227122105067;NA;NA;NA;NA;NA;5.10153600463302;NA
2008;Niederösterreich;Gesamt;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;6862729.38083695;3116178.47260018;4792354.14829539;2301404.03182023;2223155.1318088;654976.269047128;247756.722738702;20198554.1571474;1595503;4.30129519081879;1.95310097981651;3.00366351444992;1.44243165435617;1.39338824922849;0.410513968978515;0.1552843979226;12.659677955571;NA
