year,region,classification,pollutant,unit,source,data_status,energy_industry_co2e_t,energy_co2e_t,industry_co2e_t,traffic_co2e_t,buildings_co2e_t,agriculture_co2e_t,waste_co2e_t,fluorinated_gases_co2e_t,total_co2e_t,population,energy_co2e_t_percapita,industry_co2e_t_percapita,energy_industry_co2e_t_percapita,traffic_co2e_t_percapita,buildings_co2e_t_percapita,agriculture_co2e_t_percapita,waste_co2e_t_percapita,fluorinated_gases_co2e_t_percapita,total_co2e_t_percapita,international_flight_co2e_t
2001,Steiermark,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,8078589.363,3284620.523,4793968.84,3035623.151,1924217.99,1466862.039,697374.3954,197741.2122,15400408.15,1182441,2.77783037208622,4.05429855696817,6.83212892905439,2.56725126327656,1.62732685182601,1.24053719297622,0.58977521533844,0.167231356321372,13.0242508082856,
2001,Steiermark,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1182441,,,,,,,,,,
2001,Tirol,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,671492,,,,,,,,,,
2001,Tirol,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,951762.4026,50565.13263,901197.27,1568943.015,1141126.988,699745.1636,282938.1617,89792.72521,4734308.455,671492,0.0753026583041942,1.34208191609133,1.41738457435085,2.33650291440553,1.69939029504447,1.04207520506573,0.421357457274249,0.133721213670453,7.05043165815825,
2001,Tirol,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,671492,,,,,,,,,,
2001,Vorarlberg,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,350129,,,,,,,,,,
2001,Vorarlberg,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,290264.9209,3530.09183,286734.8291,803260.7586,673115.6602,230303.4489,130653.3052,46837.06494,2174435.159,350129,0.0100822606239415,0.8189405307758,0.829022791314059,2.29418516775246,1.92247902972904,0.657767419722445,0.373157622476287,0.133770881417992,6.21038291315487,
2001,Vorarlberg,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,350129,,,,,,,,,,
2001,Wien,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1553956,,,,,,,,,,
2001,Wien,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,2871199.875,2401269.794,469930.0815,3063358.379,2113410.184,28125.3106,381793.7779,208291.8752,8666179.403,1553956,1.54526241026129,0.302408872258931,1.84767128219847,1.971328904422,1.36001932101038,0.0180991679301087,0.245691498279231,0.134039750932459,5.57684992560922,
2001,Wien,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1553956,,,,,,,,,,
2002,Austria,Emissionshandel,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,8063640,,,,,,,,,,
2002,Austria,Emissionshandel Abgrenzung ab 2013,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,8063640,,,,,,,,,,
2002,Austria,Gesamt,THG,t CO2-äq,NowCast (1990-2023),31072024,37597815.32,13803250.83,23794564.48,21964662.31,12881434.65,8612861.126,3527084.772,1695056.786,86278914.96,8063640,1.71178907168475,2.95084657549196,4.66263564841684,2.72391405246266,1.59747144589788,1.0681108191834,0.437406031519264,0.210209878665218,10.6997478756492,1555345
2002,Austria,KSG,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,8063640,,,,,,,,,,
2002,Burgenland,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,276673,,,,,,,,,,
2002,Burgenland,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,209665.8743,81339.23927,128326.635,842355.1764,528532.9333,260995.778,153861.7278,42028.78067,2037440.27,276673,0.293990520470013,0.463820593263528,0.757811113841972,3.04458756871831,1.91031626974804,0.943336639281751,0.556113996667546,0.151907778026768,7.36407336458563,
2002,Burgenland,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,276673,,,,,,,,,,
2002,Kärnten,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,559933,,,,,,,,,,
2002,Kärnten,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,1335087.912,493928.1242,841159.788,1604252.351,880282.8962,724543.0002,221775.8985,519079.702,5285021.76,559933,0.88212004686275,1.50225078357589,2.38437083008146,2.86507912732416,1.57212183636256,1.29398160172735,0.396075777816274,0.927038952874719,9.43866812636512,
2002,Kärnten,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,559933,,,,,,,,,,
2002,Niederösterreich,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1544667,,,,,,,,,,
2002,Niederösterreich,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,9022703.396,6083754.475,2938948.921,4746786.373,2735535.824,2295615.61,920291.9545,235154.4153,19956087.57,1544667,3.93855405404531,1.90264239541597,5.84119644946128,3.07301597884852,1.77095504985864,1.4861556633242,0.595786635242418,0.152236317147968,12.9193460920703,
2002,Niederösterreich,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1544667,,,,,,,,,,
2002,Oberösterreich,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1377802,,,,,,,,,,
2002,Oberösterreich,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,13857356.46,1504075.861,12353280.6,4020696.716,2083458.43,2357077.112,509475.2104,217921.6347,23045985.57,1377802,1.09164877173934,8.9659331311756,10.0575819021891,2.91819631267773,1.51216098539558,1.71075169872014,0.369773893781545,0.15816614774837,16.7266309455205,
2002,Oberösterreich,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1377802,,,,,,,,,,
2002,Salzburg,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,517050,,,,,,,,,,
