month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1976-9;13.46;0;3;0;0
1976-10;10.74;0;1;0;0
1976-11;4.47;0;0;0;0
1976-12;-4.01;0;0;0;15
1977-1;-0.77;0;0;0;6
1977-2;3.78;0;0;0;0
1977-3;8.36;0;0;0;0
1977-4;7.55;0;0;0;0
1977-5;13.84;0;2;0;0
1977-6;17.28;2;12;0;0
1977-7;17.81;0;14;0;0
1977-8;16.63;0;8;0;0
1977-9;13.95;0;5;0;0
1977-10;11.95;0;1;0;0
1977-11;4.54;0;0;0;3
1977-12;1.06;0;0;0;4
1978-1;-1.15;0;0;0;7
1978-2;-0.31;0;0;0;11
1978-3;7.15;0;0;0;0
1978-4;8.27;0;0;0;0
1978-5;11.98;0;0;0;0
1978-6;15.73;0;8;0;0
1978-7;16.7;0;9;0;0
1978-8;16.76;0;9;0;0
1978-9;13.89;0;1;0;0
1978-10;8.77;0;0;0;0
1978-11;2.76;0;0;0;2
1978-12;-0.03;0;0;0;9
1979-1;-4.06;0;0;0;14
1979-2;2.3;0;0;0;1
1979-3;6.57;0;0;0;0
1979-4;7.13;0;0;0;0
1979-5;13.17;1;13;0;0
1979-6;16.9;2;15;0;0
1979-7;16.8;0;8;0;0
1979-8;16.91;0;8;0;0
1979-9;14.99;0;6;0;0
1979-10;11.92;0;1;0;0
1979-11;2.36;0;0;0;0
1979-12;2.62;0;0;0;2
1980-1;-3.99;0;0;0;20
1980-2;3.47;0;0;0;0
1980-3;5.61;0;0;0;0
1980-4;5.84;0;0;0;0
1980-5;11.58;0;0;0;0
1980-6;15.35;2;4;0;0
1980-7;16.37;2;7;0;0
1980-8;18.88;2;13;0;0
1980-9;15.73;0;8;0;0
1980-10;8.85;0;0;0;0
1980-11;2.1;0;0;0;2
1980-12;-3.24;0;0;0;13
1981-1;-4.71;0;0;0;21
1981-2;-2.33;0;0;0;4
1981-3;6.97;0;0;0;0
1981-4;10.42;0;0;0;0
1981-5;13.57;0;7;0;0
1981-6;17.16;3;12;0;0
1981-7;16.87;0;9;0;0
1981-8;18.05;2;14;1;0
1981-9;15.67;0;3;0;0
1981-10;10.02;0;1;0;0
1981-11;2.98;0;0;0;0
1981-12;-1.3;0;0;0;6
1982-1;-1.99;0;0;0;7
1982-2;-0.92;0;0;0;2
1982-3;4.65;0;0;0;0
1982-4;7.51;0;0;0;0
1982-5;13.99;0;6;0;0
1982-6;17.6;1;13;0;0
1982-7;19.68;2;18;0;0
1982-8;18.2;2;8;0;0
1982-9;17.27;0;13;0;0
1982-10;10.6;0;0;0;0
1982-11;6.54;0;0;0;0
1982-12;0.97;0;0;0;4
1983-1;0.47;0;0;0;3
1983-2;-2.11;0;0;0;6
1983-3;6.1;0;0;0;0
1983-4;11.01;0;0;0;0
1983-5;13.25;0;2;0;0
1983-6;16.81;0;11;0;0
1983-7;21.66;8;28;0;0
1983-8;18.44;1;14;0;0
1983-9;14.67;0;2;0;0
1983-10;10.55;0;0;0;0
1983-11;3.25;0;0;0;0
1983-12;-0.96;0;0;0;12
1984-1;-0.11;0;0;0;5
1984-2;-1.8;0;0;0;9
1984-3;3.39;0;0;0;0
1984-4;7.88;0;0;0;0
1984-5;12.41;0;0;0;0
1984-6;15.48;1;6;0;0
1984-7;17.75;5;10;1;0
1984-8;17.47;0;8;0;0
1984-9;13.45;0;4;0;0
1984-10;11.24;0;0;0;0
1984-11;6.31;0;0;0;0
1984-12;0.67;0;0;0;6
1985-1;-5.52;0;0;0;18
1985-2;-1.15;0;0;0;7
1985-3;4.16;0;0;0;0
1985-4;9.16;0;0;0;0
1985-5;14.46;0;5;0;0
1985-6;15.12;0;5;0;0
1985-7;19.45;5;18;0;0
1985-8;17.83;5;16;0;0
1985-9;15.73;0;5;0;0
1985-10;9.59;0;0;0;0
1985-11;0.83;0;0;0;13
1985-12;2.81;0;0;0;2
1986-1;-1.32;0;0;0;7
1986-2;-4.43;0;0;0;14
1986-3;4.88;0;0;0;0
1986-4;9.31;0;0;0;0
1986-5;15.9;0;9;0;0
1986-6;16.73;0;16;0;0
1986-7;18.03;3;17;0;0
1986-8;18.48;3;16;0;0
1986-9;14.95;0;4;0;0
1986-10;11;0;0;0;0
1986-11;5.22;0;0;0;0
1986-12;-0.53;0;0;0;6
1987-1;-5.94;0;0;0;21
1987-2;0.58;0;0;0;1
1987-3;1.06;0;0;0;3
1987-4;10.35;0;1;0;0
1987-5;11.15;0;1;0;0
1987-6;15.67;2;7;0;0
1987-7;19.44;2;19;0;0
1987-8;17.6;1;9;0;0
1987-9;17.19;0;15;0;0
1987-10;11.65;0;0;0;0
1987-11;4.69;0;0;0;0
1987-12;1.55;0;0;0;4
1988-1;3.46;0;0;0;0
1988-2;1.6;0;0;0;2
1988-3;2.58;0;0;0;1
1988-4;10.39;0;0;0;0
1988-5;15.24;0;6;0;0
1988-6;16.18;0;7;0;0
1988-7;19.65;7;19;0;0
1988-8;18.53;1;18;0;0
1988-9;14.68;0;1;0;0
1988-10;12.42;0;0;0;0
1988-11;1.94;0;0;0;3
1988-12;0.62;0;0;0;3
1989-1;0.34;0;0;0;2
1989-2;3.66;0;0;0;0
1989-3;8.53;0;0;0;0
1989-4;9.95;0;0;0;0
1989-5;13.69;0;4;0;0
1989-6;14.95;0;4;0;0
1989-7;18.47;0;10;0;0
1989-8;18.15;1;16;0;0
1989-9;14.94;0;6;0;0
1989-10;10.46;0;0;0;0
1989-11;3.83;0;0;0;1
1989-12;0.74;0;0;0;7
1990-1;-1;0;0;0;7
1990-2;5.55;0;0;0;0
1990-3;8.36;0;0;0;0
1990-4;8.41;0;0;0;0
1990-5;15.32;0;3;0;0
1990-6;16.71;3;10;0;0
1990-7;18.48;2;20;0;0
1990-8;19.34;2;21;0;0
1990-9;13.71;0;0;0;0
1990-10;12;0;2;0;0
1990-11;4.23;0;0;0;0
1990-12;-2.61;0;0;0;18
1991-1;0.51;0;0;0;4
1991-2;-1.04;0;0;0;5
1991-3;9.04;0;0;0;0
1991-4;8.06;0;0;0;0
1991-5;9.83;0;1;0;0
1991-6;16.06;0;9;0;0
1991-7;20.18;6;20;0;0
1991-8;19.17;3;17;0;0
1991-9;16.89;0;8;0;0
1991-10;9.28;0;0;0;0
1991-11;3.64;0;0;0;0
1991-12;-2.33;0;0;0;15
1992-1;-1.92;0;0;0;8
1992-2;1.17;0;0;0;4
1992-3;5.26;0;0;0;0
1992-4;9.02;0;2;0;0
1992-5;15.43;0;10;0;0
1992-6;17.5;0;11;0;0
1992-7;20.38;5;19;0;0
1992-8;21.85;11;22;2;0
1992-9;15.82;0;4;0;0
1992-10;8.79;0;0;0;0
1992-11;5.43;0;0;0;0
1992-12;0.74;0;0;0;5
1993-1;1.89;0;0;0;4
1993-2;0.08;0;0;0;3
1993-3;2.95;0;0;0;1
1993-4;10.9;0;1;0;0
1993-5;16.36;1;11;0;0
1993-6;17.5;1;12;0;0
1993-7;17.65;1;11;0;0
1993-8;18.4;4;16;0;0
1993-9;14.7;0;3;0;0
1993-10;10.4;0;1;0;0
1993-11;2.71;0;0;0;8
1993-12;1.05;0;0;0;6
1994-1;2.38;0;0;0;1
1994-2;1.63;0;0;0;4
1994-3;9.68;0;0;0;0
1994-4;8.84;0;1;0;0
1994-5;14.55;0;1;0;0
1994-6;17.5;5;15;0;0
1994-7;21.62;10;24;0;0
1994-8;20.39;8;18;0;0
1994-9;15.89;0;6;0;0
1994-10;9.65;0;0;0;0
1994-11;8.15;0;0;0;0
1994-12;0.96;0;0;0;4
1995-1;-1.96;0;0;0;13
1995-2;4.16;0;0;0;0
1995-3;3.91;0;0;0;0
1995-4;9.55;0;0;0;0
1995-5;13.98;0;6;0;0
1995-6;15;0;6;0;0
1995-7;21.89;12;23;0;0
1995-8;17.65;0;12;0;0
1995-9;13.4;0;0;0;0
1995-10;12.6;0;1;0;0
1995-11;2.81;0;0;0;3
1995-12;-0.82;0;0;0;9
1996-1;0.29;0;0;0;7
1996-2;-0.29;0;0;0;5
1996-3;3.23;0;0;0;2
1996-4;9.6;0;0;0;0
1996-5;13.83;0;5;0;0
1996-6;17.79;3;13;0;0
1996-7;17.45;1;11;0;0
1996-8;16.84;0;5;0;0
1996-9;10.66;0;0;0;0
1996-10;9.01;0;0;0;0
1996-11;4.45;0;0;0;0
1996-12;-2.98;0;0;0;11
1997-1;-1.56;0;0;0;9
1997-2;2.9;0;0;0;0
1997-3;6.14;0;0;0;0
1997-4;7.27;0;0;0;0
1997-5;14.69;0;8;0;0
1997-6;17.31;0;10;0;0
1997-7;17.16;0;12;0;0
1997-8;19.5;0;21;0;0
1997-9;16.22;0;6;0;0
1997-10;9.5;0;1;0;0
1997-11;5.52;0;0;0;0
1997-12;3.02;0;0;0;2
1998-1;2.03;0;0;0;3
1998-2;4.86;0;0;0;0
1998-3;5.02;0;0;0;0
1998-4;10.18;0;1;0;0
1998-5;14.97;0;9;0;0
1998-6;18.21;3;16;0;0
1998-7;19.12;3;13;0;0
1998-8;18.73;5;14;0;0
1998-9;14.68;0;2;0;0
1998-10;10.31;0;0;0;0
1998-11;1.85;0;0;0;5
1998-12;-0.97;0;0;0;10
1999-1;0.71;0;0;0;3
1999-2;-1.93;0;0;0;11
1999-3;6.35;0;0;0;0
1999-4;9.95;0;0;0;0
1999-5;15.71;0;9;0;0
1999-6;16.39;0;5;0;0
1999-7;19.29;4;15;0;0
1999-8;18.36;1;11;0;0
1999-9;17.32;0;10;0;0
1999-10;11.58;0;0;0;0
1999-11;2.09;0;0;0;5
1999-12;-0.1;0;0;0;5
2000-1;-3.27;0;0;0;15
2000-2;2.62;0;0;0;0
2000-3;5.78;0;0;0;0
2000-4;11.58;0;3;0;0
2000-5;16.36;0;13;0;0
2000-6;18.94;7;17;0;0
2000-7;17.15;0;10;0;0
2000-8;19.63;2;19;0;0
2000-9;15.42;0;4;0;0
2000-10;11.53;0;0;0;0
2000-11;6.64;0;0;0;0
2000-12;3.93;0;0;0;0
2001-1;1.32;0;0;0;1
2001-2;3.17;0;0;0;2
2001-3;8.38;0;0;0;0
2001-4;7.91;0;0;0;0
2001-5;16.57;1;11;0;0
2001-6;15.57;1;7;0;0
2001-7;19.14;4;16;0;0
2001-8;20.14;8;18;1;0
2001-9;11.9;0;0;0;0
2001-10;13.63;0;1;0;0
2001-11;2.5;0;0;0;1
2001-12;-2.9;0;0;0;14
2002-1;-1.52;0;0;0;8
2002-2;5.15;0;0;0;0
2002-3;7.58;0;0;0;0
2002-4;9.37;0;0;0;0
2002-5;15.65;0;5;0;0
2002-6;19.76;10;17;0;0
2002-7;19.44;3;16;0;0
2002-8;18.75;0;14;0;0
2002-9;13.6;0;2;0;0
2002-10;9.96;0;0;0;0
2002-11;7.35;0;0;0;0
2002-12;2.75;0;0;0;0
2003-1;-1.05;0;0;0;9
2003-2;-2.24;0;0;0;12
2003-3;6.78;0;0;0;0
2003-4;9.44;0;2;0;0
2003-5;16.56;3;12;0;0
2003-6;21.84;10;26;0;0
2003-7;20.21;6;22;0;0
2003-8;22.25;15;26;0;0
2003-9;14.67;0;5;0;0
2003-10;7.84;0;0;0;0
2003-11;7.03;0;0;0;0
2003-12;1.22;0;0;0;5
2004-1;-0.7;0;0;0;7
2004-2;1.89;0;0;0;3
2004-3;5.05;0;0;0;1
2004-4;10.58;0;0;0;0
2004-5;12.6;0;1;0;0
2004-6;16.56;2;7;0;0
2004-7;18.77;4;17;0;0
2004-8;19.72;2;20;0;0
