households;year;region;gas_convector;gas_central;oil_single;oil_central;coal_single;coal_central;wood_single;wood_central;electric;heatPump;remote;gas_sum;wood_sum;oil_sum;coal_sum;gas_sum_per100households;oil_sum_per100households;wood_sum_per100households;coal_sum_per100households;heatPump_per100households;remote_per100households;electric_per100households
146049;2008;Vorarlberg;1341;22733;2477;53249;310;810;8953;30758;8157;5949;11312;24074;39711;55726;1120;16.5;38.2;27.2;0.8;4.1;7.7;5.6
149266;2010;Vorarlberg;659;22495;2705;54687;336;0;7369;23488;13886;9763;13878;23154;30857;57392;336;15.5;38.4;20.7;0.2;6.5;9.3;9.3
152753;2012;Vorarlberg;1579;22079;820;47443;0;248;5860;29651;11184;17689;16200;23658;35511;48263;248;15.5;31.6;23.2;0.2;11.6;10.6;7.3
156680;2014;Vorarlberg;3045;21118;747;43111;0;0;6284;22278;13163;23696;23238;24163;28562;43858;0;15.4;28;18.2;0;15.1;14.8;8.4
161754;2016;Vorarlberg;1302;23662;1828;39113;0;0;7856;28859;14526;23768;20840;24964;36715;40941;0;15.4;25.3;22.7;0;14.7;12.9;9
165085;2018;Vorarlberg;298;20311;1514;49305;0;252;6697;28024;12397;27481;18806;20609;34721;50819;252;12.5;30.8;21;0.2;16.6;11.4;7.5
169735;2020;Vorarlberg;649;22080;1122;39296;0;0;7514;25156;22275;31781;19862;22729;32670;40418;0;13.4;23.8;19.2;0;18.7;11.7;13.1
267270;2004;Tirol;2925;12824;9046;130055;1365;1031;13880;38060;20766;7703;29615;15749;51940;139101;2396;5.9;52;19.4;0.9;2.9;11.1;7.8
278261;2006;Tirol;1888;16820;7012;130882;1269;1052;16153;53207;21731;4357;23890;18708;69360;137894;2321;6.7;49.6;24.9;0.8;1.6;8.6;7.8
285132;2008;Tirol;2571;17212;3370;130309;877;1398;23644;52547;17174;3547;32483;19783;76191;133679;2275;6.9;46.9;26.7;0.8;1.2;11.4;6
291247;2010;Tirol;3303;19192;3130;117822;0;832;21261;56108;22048;9637;37914;22495;77369;120952;832;7.7;41.5;26.6;0.3;3.3;13;7.6
298379;2012;Tirol;930;24241;3029;114766;745;0;21222;62247;21469;8260;41470;25171;83469;117795;745;8.4;39.5;28;0.2;2.8;13.9;7.2
306363;2014;Tirol;1428;25943;2782;112276;1183;0;21257;57257;22503;12598;49136;27371;78514;115058;1183;8.9;37.6;25.6;0.4;4.1;16;7.3
316551;2016;Tirol;2545;28796;1718;98243;1642;0;22026;57672;30628;16654;56627;31341;79698;99961;1642;9.9;31.6;25.2;0.5;5.3;17.9;9.7
322448;2018;Tirol;1167;29364;1357;110263;385;0;17683;61111;25530;22242;53346;30531;78794;111620;385;9.5;34.6;24.4;0.1;6.9;16.5;7.9
329895;2020;Tirol;1728;30770;1039;85865;0;0;15372;52737;35191;34754;72439;32498;68109;86904;0;9.9;26.3;20.6;0;10.5;22;10.7
211089;2004;Salzburg;5227;15659;4085;81291;499;975;9858;28274;23099;7508;34614;20886;38132;85376;1474;9.9;40.4;18.1;0.7;3.6;16.4;10.9
216050;2006;Salzburg;5961;15678;4174;75754;606;1167;8191;36945;22908;1971;42695;21639;45136;79928;1773;10;37;20.9;0.8;0.9;19.8;10.6
218725;2008;Salzburg;5416;18930;2675;64795;157;314;11135;33728;22546;2410;56619;24346;44863;67470;471;11.1;30.8;20.5;0.2;1.1;25.9;10.3
221513;2010;Salzburg;5925;15745;1700;62087;0;210;7226;41633;29435;5625;51927;21670;48859;63787;210;9.8;28.8;22.1;0.1;2.5;23.4;13.3
224875;2012;Salzburg;3768;18875;1234;55292;880;241;7527;40082;23200;5476;68300;22643;47609;56526;1121;10.1;25.1;21.2;0.5;2.4;30.4;10.3
229624;2014;Salzburg;4237;18676;1024;51713;0;360;7150;37758;23471;9428;75807;22913;44908;52737;360;10;23;19.6;0.2;4.1;33;10.2
234937;2016;Salzburg;4091;19720;763;46670;0;416;9183;43058;25483;11853;73700;23811;52241;47433;416;10.1;20.2;22.2;0.2;5;31.4;10.8
237527;2018;Salzburg;4541;16890;653;51422;0;0;4802;45812;15422;23521;74464;21431;50614;52075;0;9;21.9;21.3;0;9.9;31.3;6.5
243491;2020;Salzburg;2075;18922;443;41817;0;443;9589;40416;19592;31269;78925;20997;50005;42260;443;8.6;17.4;20.5;0.2;12.8;32.4;8
223801;2004;Kärnten;2092;5938;1775;85541;1458;4352;9794;45197;24994;9420;33240;8030;54991;87316;5810;3.6;39;24.6;2.6;4.2;14.9;11.2
232430;2006;Kärnten;2720;6517;1801;92089;1513;3777;12683;48679;23903;3595;35153;9237;61362;93890;5290;4;40.4;26.4;2.3;1.5;15.1;10.3
235911;2008;Kärnten;2220;7168;1072;85429;182;1055;13643;53671;23066;6340;42065;9388;67314;86501;1237;4;36.7;28.5;0.5;2.7;17.8;9.8
239188;2010;Kärnten;2115;6459;1044;72147;557;1041;11018;58830;26540;10828;48609;8574;69848;73191;1598;3.6;30.6;29.2;0.7;4.5;20.3;11.1
241326;2012;Kärnten;2736;5308;1170;71230;235;744;8950;58470;21428;13325;57730;8044;67420;72400;979;3.3;30;27.9;0.4;5.5;23.9;8.9
244457;2014;Kärnten;1432;7034;504;65260;0;117;11416;61334;23328;15886;58146;8466;72750;65764;117;3.5;26.9;29.8;0;6.5;23.8;9.5
249120;2016;Kärnten;1288;7857;637;61862;322;297;11750;54064;18883;19774;72386;9145;65814;62499;619;3.7;25.1;26.4;0.2;7.9;29.1;7.6
251341;2018;Kärnten;1605;5887;909;61602;0;815;10577;61525;16180;24974;67267;7492;72102;62511;815;3;24.9;28.7;0.3;9.9;26.8;6.4
254656;2020;Kärnten;867;7536;0;55297;279;615;11291;61672;12619;24559;79921;8403;72963;55297;894;3.3;21.7;28.7;0.4;9.6;31.4;5
