id,name,Bundesland,height,latitude,longitude
4878,Oberharz am Brocken-Stiege,Sachsen-Anhalt,504,49.0878,10.124
4887,Stötten,Baden-Württemberg,734,54.6654,9.805
4911,Straubing,Bayern,351,54.4965,8.8069
4928,Stuttgart (Schnarrenberg),Baden-Württemberg,314,48.8333,9.2
4931,Stuttgart-Echterdingen,Baden-Württemberg,371,48.7091,9.2147
5009,Teterow,Mecklenburg-Vorpommern,33,53.2758,8.9857
5014,Worpswede-Hüttenbusch,Niedersachsen,7,50.4002,11.3888
5017,Teuschnitz,Bayern,633,52.2084,12.0328
5078,Travemünde,Schleswig-Holstein,2,54.5337,13.246
5099,Trier-Zewen,Rheinland-Pfalz,132,49.7479,6.6583
5100,Trier-Petrisberg,Rheinland-Pfalz,261,48.3132,9.2472
5111,Trostberg,Bayern,560,48.5198,9.0515
5142,Ueckermünde,Mecklenburg-Vorpommern,1,52.9414,10.5289
5146,Uelzen,Niedersachsen,50,49.5679,10.1969
5229,Villingen-Schwenningen,Baden-Württemberg,719,52.8318,8.3112
5279,Wesertal-Lippoldsberg,Hessen,176,53.9224,10.2267
5300,Waldems-Reinborn,Hessen,380,48.9293,13.4641
5335,Waltershausen,Thüringen,352,53.7865,7.9096
5349,Waren (Müritz),Mecklenburg-Vorpommern,73,50.6271,9.442
5371,Wasserkuppe,Hessen,920,47.5714,12.9337
5397,Weiden,Bayern,440,49.1965,10.6487
5404,Weihenstephan-Dürnast,Bayern,477,50.4732,8.2594
5424,Weimar-Schöndorf,Thüringen,328,49.3758,8.1212
5426,Weinbiet,Rheinland-Pfalz,553,49.1512,9.292
5433,Weiskirchen/Saar,Saarland,380,50.0858,11.2364
5440,Weißenburg-Emetzheim,Bayern,439,51.2002,11.9154
5490,Wernigerode,Sachsen-Anhalt,233,49.7667,9.5428
5516,Fehmarn,Schleswig-Holstein,3,51.617,10.5843
5629,Wittenberg,Sachsen-Anhalt,105,53.5503,7.6672
5664,Wolfach,Baden-Württemberg,296,47.818,9.797
5692,Worms,Rheinland-Pfalz,88,49.7964,9.8949
5705,Würzburg,Bayern,268,49.7995,9.928
5717,Wuppertal-Buchenhofen,Nordrhein-Westfalen,134,51.2051,7.2
5745,Zehdenick,Brandenburg,51,51.0314,12.1495
5750,Zeitz,Sachsen-Anhalt,264,51.9642,12.0996
5792,Zugspitze,Bayern,2956,50.6879,12.4329
5797,Lichtentanne,Sachsen,349,49.028,13.2385
5825,Berge,Brandenburg,40,53.1007,11.0455
5906,Mannheim,Baden-Württemberg,98,51.0988,9.538
5941,Reit im Winkl,Bayern,686,48.8787,9.6342
6159,Dörpen,Niedersachsen,8,54.1654,10.3519
6314,Nossen,Sachsen,306,50.0132,9.654
