id;Synopstationsnummer;name;longitude;latitude;height;Startdatum;Enddatum;Bundesland;Sonnenschein;Globalstrahlung;Synop;Verknüpfungsnummer;Startdatum Teilzeitreihe;Enddatum Teilzeitreihe;zusammengesetzt
198;11278;POERTSCHACH;14.165277;46.630833;450.0;1978-05-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
200;11247;GLEISDORF;15.708055;47.115555;377.0;1961-01-01;2100-12-31;STMK;nein;ja;keine Synopmeldung;;;;ja
202;11392;WOERTERBERG;16.096666;47.226112;404.0;1929-07-01;2100-12-31;BGL;ja;ja;keine Synopmeldung;;;;ja
204;11012;KREMSMUENSTER (TAWES);14.131111;48.055;382.0;1874-01-01;2100-12-31;OOE;ja;ja;Synopmeldung;;;;ja
205;11155;FEUERKOGEL;13.717778;47.816666;1618.1;1928-01-01;2100-12-31;OOE;ja;ja;Synopmeldung;;;;ja
206;11217;LOIBL/TUNNEL;14.249166;46.44389;1097.0;1959-01-01;2100-12-31;KNT;ja;ja;keine Synopmeldung;;;;ja
210;11317;ST.LEONHARD/PITZTAL;10.865556;47.027222;1454.4;1967-01-01;2100-12-31;TIR;nein;ja;keine Synopmeldung;;;;ja
213;11343;SONNBLICK (TAWES);12.9575;47.054165;3109.0;1886-01-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
215;11064;GARS/Kamp;15.7;48.591946;273.0;1999-03-10;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
217;11176;KAPFENBERG-FLUGFELD;15.335556;47.458332;515.0;1997-03-01;2100-12-31;STMK;ja;ja;Synopmeldung;;;;ja
218;11395;ANDAU;17.035555;47.77;117.0;1995-08-01;2100-12-31;BGL;ja;ja;Synopmeldung;;;;ja
