region;year;bruttoinlandsverbrauch_TWh;umwandlungseinsatz;umwandlungseinsatz_kraftwerke;umwandlungseinsatz_kraftwerke_evu;umwandlungseinsatz_kraftwerke_uea;umwandlungseinsatz_kwk_anlagen;umwandlungseinsatz_kwk_anlagen_evu;umwandlungseinsatz_kwk_anlagen_uea;umwandlungseinsatz_heizwerke;umwandlungseinsatz_heizwerke_evu;umwandlungseinsatz_heizwerke_uea;umwandlungseinsatz_gaserzeugung;umwandlungsausstoss;verbrauchDesSektorsEnergie;transportverluste;nichtenergetischerVerbrauch;energetischerEndverbrauch;energeEndverbrauch_industrie_EisenStahlerzeugung;energeEndverbrauch_industrie_chemiePetrochemie;energeEndverbrauch_industrie_nichtEisenMetalle;energeEndverbrauch_industrie_steineErdenGlas;energeEndverbrauch_industrie_fahrzeugbau;energeEndverbrauch_industrie_maschinenbau;energeEndverbrauch_industrie_bergbau;energeEndverbrauch_industrie_hrungsGenussmittelTabak;energeEndverbrauch_industrie_papierDruck;energeEndverbrauch_industrie_holzverarbeitung;energeEndverbrauch_industrie_bau;energeEndverbrauch_industrie_textilLeder;energeEndverbrauch_industrie_sonstProduzierenderBereich;energeEndverbrauch_verkehr_eisenbahn;energeEndverbrauch_verkehr_sonstigerLandverkehr;energeEndverbrauch_verkehr_transportInRohrfernleitungen;energeEndverbrauch_verkehr_binnenschiffahrt;energeEndverbrauch_verkehr_flugverkehr;energeEndverbrauch_oeffentUndPrivDienstleistungen;energeEndverbrauch_privateHaushalte;energeEndverbrauch_landwirtschaft;energeEndverbrauch_industrie_summe;energeEndverbrauch_verkehr_summe;energeEndverbrauch_summe_aus_Landwirtschaft_privateHaushalte_oeffentUndPrivDienstleistungen;verbrauchDesSektorsEnergie_gewinnungErdoelErdgas;verbrauchDesSektorsEnergie_kohlenbergbau;verbrauchDesSektorsEnergie_mineraloelverarbeitung;verbrauchDesSektorsEnergie_kokerei;verbrauchDesSektorsEnergie_hochofen;verbrauchDesSektorsEnergie_energieversorgung
salzburg;2003;2.7500683363817;0.562458980758619;;;;;;;;;;;0;0.00166651642042651;0.00003291061390082;0;2.18590992858876;0.00051109882163641;0.0108783392597539;0.0470242967538961;0.22991632120689;0.00600643669049864;0.0689524867647864;0.00796873340667183;0.100374112397849;0.407970715926678;0.0979595040320606;0.019727278832354;0.009537715786682;0.0109211621643109;0;0;0;0;0;0.602568470517878;0.561866564807858;0.0037266912189525;1.01774820204407;0;1.16816172654469;0;0;0;0;0;0.00166651642042651
salzburg;2004;3.48376751828419;1.02527683549467;;;;;;;;;;;0;0.00169356843204963;0.00003883512815373;0;2.45675827922931;0.00104930401279894;0.009192835436944;0.0458018499250214;0.247738609369236;0.00736885416309814;0.061174586273035;0.00255902659573901;0.0903631242566261;0.451956449742494;0.103899789498773;0.014997406508801;0.00604034260048853;0.0125557444475983;0;0.00018713160983917;0;0;0;0.809308891036642;0.588742286564958;0.00382204718721306;1.05469792283065;0.00018713160983917;1.40187322478881;0;0;0;0;0;0.00169356843204963
salzburg;2005;3.37508157388956;1.03253324880286;0.313045716659711;0.313045716659711;0;0.661480282229178;0.531444283340289;0.130035998888889;0.0580072499139725;0.0580072499139725;0;0;0;0.00161582279948166;0.00007950544441553;0;2.34085299684278;0.00195283447492369;0.0109239827784862;0.0473542640962331;0.233140776676138;0.00752845577246858;0.0685972691179525;0.00292349095428486;0.0912290256624836;0.446057807801125;0.384560497485994;0.0184739033263701;0.00866373843999461;0.0144408787377723;0;0.00018944546713339;0;0;0;0.380521651091794;0.616258412114881;0.00803656284474986;1.33584692532423;0.00018944546713339;1.00481662605143;0;0;0;0;0;0.00161582279948166
salzburg;2006;3.46240265763108;1.06799927214191;0.324613299034006;0.318814857263903;0.00579844177010425;0.667895563743772;0.575325142736097;0.0925704210076736;0.0754904093641336;0.0754904093641336;0;0;0;0.00157695279791353;0.00004835508997615;0;2.39277807760129;0.00262945566650513;0.00766854963641853;0.0510731370159839;0.237186126612975;0.00821951095336889;0.0662729652839744;0.00834165114266567;0.087982849112595;0.326346862433953;0.321659694780642;0.022331793397513;0.010538644218946;0.0440455493277878;0;0.00016055331567679;0;0;0;0.564825557373322;0.625915748651736;0.00757942867722642;1.19429678958333;0.00016055331567679;1.19832073470228;0;0;0;0;0;0.00157695279791353
salzburg;2007;3.14295107510622;0.986463261860381;0.159056962721105;0.156777791067221;0.00227917165388406;0.651869502278895;0.574165488932781;0.0777040133461158;0.175536796860379;0.175536796860379;0;0;0;0.00155196771767342;0.00004780600143328;0;2.15488803952673;0.00137935736450157;0.0108498908865199;0.0492351375473739;0.220174006013681;0.00878809283189175;0.0661341075475697;0.00596593085655928;0.0821287280638892;0.28483231923935;0.310789785655894;0.0214413490001391;0.0104256653880029;0.0440676205341469;0;0.00123016818775162;0;0;0;0.442207306360147;0.586955346468305;0.00828322758100919;1.11621199092952;0.00123016818775162;1.03744588040946;0;0;0;0;0;0.00155196771767342
salzburg;2008;3.35150942660539;1.08118318495079;0.230099648151307;0.227699229230724;0.00240041892058242;0.700360530296958;0.650952050769275;0.0494084795276814;0.150723006502527;0.150723006502527;0;0;0;0.00151553459478733;0.00005023266696632;0;2.26876047439284;0.00012864927878775;0.0149167380602461;0.0493178724531494;0.225630866856345;0.00905397805254919;0.0720237748790208;0.00368778789346894;0.0661688997052531;0.267421762163322;0.353706468555733;0.0187751306975474;0.0115178332992635;0.0542315243460458;0;0.00231742107598219;0;0;0;0.483987644127956;0.6272022131261;0.00867190982207433;1.14658128624073;0.00231742107598219;1.11986176707613;0;0;0;0;0;0.00151553459478733
salzburg;2009;2.82743402118161;0.960501155288628;0.0241335999795136;0.0215460612492341;0.00258753873027956;0.734683290663075;0.733371533222989;0.00131175744008663;0.201684264646041;0.201684264646041;0;0;0;0.0013988259863776;0.00004887974350027;0;1.86548516016309;0.00013548584373159;0.014569675114177;0.0407375154300614;0.192118366180749;0.010106005688421;0.0943129846713236;0.00176142651001691;0.0961920156284567;0.0767731178292375;0.254185603294229;0.0235170908477441;0.0106120226734613;0.0488835962691261;0;0.00577147506013111;0;0;0;0.352266885992847;0.635743029689461;0.00779886343991656;0.863904905980736;0.00577147506013111;0.995808779122222;0;0;0;0;0;0.0013988259863776
salzburg;2010;2.92165393439767;1.09122347884406;0.0291393098437625;0.0270155902279013;0.00212371961586123;0.814790981721436;0.8142991527641;0.00049182895733737;0.24729318727886;0.24729318727886;0;0;0;0.00129032594041261;0.00004835850690215;0;1.82909177110629;0.00014255478218286;0.0136629806440249;0.0412751439742672;0.155834076244843;0.0134155257376361;0.0969030400508336;0.00275239914985361;0.116852551687694;0.0679930079270367;0.268092325374052;0.0228533645861419;0.0103874778557125;0.0606753561374195;0;0.00803475591277661;0;0;0;0.245727586584999;0.695791647;0.00869797745682231;0.870839804151697;0.00803475591277661;0.950217211041822;0;0;0;0;0;0.00129032594041261
salzburg;2011;2.88177379730247;1.23778549790299;0.0721816640598428;0.07096862493;0.00121303912984274;0.940895492843361;0.913372113519;0.0275233793243606;0.224708340999782;0.224708340999782;0;0;0;0.00114199070553642;0.00005670429075521;0;1.64278960440321;0.00012250092777748;0.0126044415027547;0.0513543311842158;0.157263757401288;0.0127195823330383;0.0982074925176433;0.00254356093575904;0.108640203901829;0.0665680098628406;0.223029744330038;0.0257467741992528;0.00961946094546781;0.0526811815461744;0;0.00860571856838706;0;0;0;0.183466262407775;0.6223968;0.00721978183896689;0.821101041588078;0.00860571856838706;0.813082844246742;0;0;0;0;0;0.00114199070553642
salzburg;2012;3.05584532398517;1.15299366849059;0.00169549613128643;0;0.00169549613128651;0.890219446877397;0.861496442874;0.0287230040033961;0.261078725481907;0.261078725481907;0;0;0;0.00112111345999576;0.00005201368866523;0;1.90167852834592;0.00014118925725883;0.0137315942635849;0.0488992939427233;0.187234099628312;0.0141049306003805;0.123278974324623;0.00271605952960007;0.114665150874314;0.0872697144219478;0.201158638052463;0.0288030038609292;0.0101583078444536;0.0506781933165067;0;0.00945776011640161;0;0;0;0.354606043014286;0.649849754461489;0.00492582083664964;0.882839149917097;0.00945776011640161;1.00938161831242;0;0;0;0;0;0.00112111345999576
