,DateTime,Wasserkraft,Jahresproduktion
128,2020-09-30,3.932316392,40.175389532
129,2020-10-31,3.6565684849999998,41.191742849
130,2020-11-30,3.111217095,41.301634641999996
131,2020-12-31,2.624971253,41.289898281999996
132,2021-01-31,2.51877269,41.195495771
133,2021-02-28,2.8241121060000003,41.2512779
134,2021-03-31,2.516654597,40.661482408
135,2021-04-30,2.581141502,40.22861559
136,2021-05-31,4.143626385,40.696404833
137,2021-06-30,4.622646895,41.036853494999995
138,2021-07-31,4.339942649,40.958514723
139,2021-08-31,4.716700345,41.588670394
140,2021-09-30,3.161093515,40.817447517
141,2021-10-31,2.508934573,39.669813605
142,2021-11-30,2.5408745589999997,39.099471068999996
143,2021-12-31,2.5604937740000002,39.03499359
144,2022-01-31,2.842925674,39.359146574
145,2022-02-28,2.31820335,38.853237818000004
